Player Name,Player_Type,Matches_Played,Runs,Average,Strike_Rate,Wickets,Bowling_average,Economy,Bowling_Strike_Rate,Catches
Sahibzada Farhan (PAK),Batter,7,383,76.6,160.25,,,,,
TL Seifert (NZ),Keeper,9,326,46.57,166.32,,,,,7
SV Samson (IND),Keeper,5,321,80.25,199.37,,,,,3
Ishan Kishan (IND),Keeper,9,317,35.22,193.29,,,,,9
FH Allen (NZ),Batter,9,298,49.66,200,,,,,2
BJ Bennett (ZIM),Batter,6,292,146,134.56,,,,,3
AK Markram (SA),Batter,8,286,47.66,165.31,,,,,4
JG Bethell (ENG),Batter,8,280,35,152.17,,,,,
SO Hetmyer (WI),Batter,7,248,41.33,186.46,,,,,7
SA Yadav (IND),Batter,9,242,30.25,136.72,,,,,
S Dube (IND),Allrounder,9,235,39.16,169.06,5,29.2,14.12,12.4,
HC Brook (ENG),Batter,8,235,29.37,159.86,,,,,
RD Rickelton (SA),Keeper,8,228,32.57,170.14,,,,,
WG Jacks (ENG),Allrounder,8,226,56.5,176.56,9,21.66,9.75,13.33,
HH Pandya (IND),Allrounder,9,217,27.12,160.74,9,32.33,8.81,22,
SD Hope (WI),Batter,7,217,36.16,130.72,,,,,
P Nissanka (SL),Batter,7,211,35.16,147.55,,,,,
NT Tilak Varma (IND),Batter,9,207,29.57,154.47,,,,,8
D Brevis (SA),Batter,8,207,29.57,146.8,,,,,
Sikandar Raza (ZIM),Allrounder,6,206,51.5,164.8,5,36,9,24,
P Rathnayake (SL),Batter,7,205,34.16,154.13,,,,,
BKG Mendis (SL),Batter,6,197,39.4,114.53,,,,,
SE Rutherford (WI),Batter,7,183,61,179.41,,,,,
GD Phillips (NZ),Allrounder,9,181,36.2,157.39,3,39,9,26,11
Q de Kock (SA),Keeper,8,181,22.62,135.07,,,,,6
DA Miller (SA),Batter,7,174,58,155.35,,,,,
Ibrahim Zadran (AFG),Batter,4,170,56.66,142.85,,,,,
DS Airee (NEP),Allrounder,4,169,56.33,144.44,2,44.5,6.84,39,
SM Curran (ENG),Allrounder,8,167,23.85,120.14,6,34.16,9.46,21.66,
MD Shanaka (SL),Allrounder,7,165,33,187.5,3,34,9,22.66,
BFW de Leede (NED),Allrounder,4,158,52.66,139.82,5,19.6,7.84,15,
T Banton (ENG),Batter,8,155,22.14,137.16,,,,,10
R Powell (WI),Batter,7,149,29.8,147.52,,,,,
A Sharafu (UAE),Batter,4,145,36.25,112.4,,,,,
YS Samra (CAN),Batter,4,144,36,156.52,,,,,
MA Jones (SCOT),Batter,4,142,35.5,142,,,,,
SS Ranjane (USA),Batter,4,141,70.5,180.76,,,,,
JO Holder (WI),Allrounder,7,141,35.25,174.07,10,20.4,8.86,13.8,
Rahmanullah Gurbaz (AFG),Batter,4,141,35.25,163.95,,,,,
Abhishek Sharma (IND),Batter,8,141,17.62,158.42,,,,,
LJ Tucker (IRE),Batter,3,139,69.5,144.79,,,,,
BAD Manenti (ITA),Allrounder,4,138,46,179.22,5,20.6,7.35,16.8,
T Stubbs (SA),Batter,8,135,67.5,135,,,,,7
HG Munsey (SCOT),Batter,4,134,33.5,128.84,,,,,
Sohaib Khan (UAE),Batter,4,132,33,145.05,,,,,
T Marumani (ZIM),Batter,6,131,21.83,140.86,,,,,
PD Salt (ENG),Batter,8,130,16.25,158.53,,,,,
R Ravindra (NZ),Allrounder,9,129,25.8,134.37,12,12.41,7.84,9.5,2
MJ Santner (NZ),Allrounder,8,120,40,142.85,2,92.5,6.6,84,
MR Marsh (AUS),Allrounder,2,118,118,196.66,,,,,
Shadab Khan (PAK),Allrounder,7,118,23.6,153.24,5,30.4,8.44,21.6,
PHKD Mendis (SL),Allrounder,7,117,23.4,164.78,2,14.5,7.25,12,
RD Berrington (SCOT),Batter,4,116,29,158.9,,,,,
L Steenkamp (NAM),Batter,4,116,29,133.33,,,,,
H Thaker (CAN),Batter,4,116,38.66,119.58,,,,,
TM Head (AUS),Batter,4,111,27.75,158.57,,,,,
Fakhar Zaman (PAK),Batter,3,109,54.5,187.93,,,,,
NS Dhaliwal (CAN),Batter,4,108,27,121.34,,,,,
SP Krishnamurthi (USA),Batter,4,106,35.33,155.88,,,,,
J Mosca (ITA),Batter,4,105,35,125,,,,,
Muhammad Waseem (UAE),Batter,4,102,34,143.66,,,,,
MT Renshaw (AUS),Batter,3,102,51,132.46,,,,,
RL Chase (WI),Allrounder,5,100,25,123.45,4,25.75,8.58,18,
SR Mukkamalla (USA),Batter,3,98,32.66,128.94,,,,,
A Sharma (UAE),Batter,4,95,31.66,118.75,,,,,
AJ Mosca (ITA),Batter,4,94,31.33,164.91,,,,,
